dish_id,name_vi,region,serving_g,verified_by,note
PHO-BO,Phở bò,bắc,450,pending,"Công thức NHÁP — R2 cần rà. Muối tính từ nguyên liệu ~3,5g/bát (khớp mốc nghiên cứu 3,3-4,0g). Gia vị = phần thực ăn của bát, không phải cả nồi nước dùng."
BUN-DAU-MAM,Bún đậu mắm,bắc,350,pending,Công thức NHÁP — R2 cần rà.
CANH-RAU-MUONG,Canh rau muống,any,300,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),Món ít muối để đối chiếu (contrast với phở). [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-PHO-GA,Phở gà,Bắc,285,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — thiếu nước dùng (không có food_item nước dùng), chỉ tính phần cái. CẦN R2 duyệt gram + bổ sung nước dùng. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]"
VN-BUN-CHA,Bún chả,Bắc,355,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-CANH-CHUA-CA,Canh chua cá,Nam,240,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — thiếu dứa/me (không có food_item), CẦN R2 duyệt và bổ sung. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]"
VN-RAU-MUONG-XAO-TOI,Rau muống xào tỏi,Chung,215,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-DAU-PHU-SOT-CA,Đậu phụ sốt cà chua,Chung,320,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-CA-KHO-TO,Cá kho tộ,Nam,225,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — thiếu đường/nước hàng (không có food_item), CẦN R2 duyệt. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]"
VN-GA-KHO-GUNG,Gà kho gừng,Chung,235,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-CANH-CAI-TOM,Canh cải nấu tôm,Chung,210,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)]
VN-SUON-XAO-CHUA-NGOT,Sườn xào chua ngọt,Chung,280,pending,"LLM soạn nháp — thiếu đường/dấm (không có food_item), CẦN R2 duyệt."
